code,name_en,alpha,comment
120115,Baodi,,Pinyin of name_zh
130627,Tang,,Pinyin of name_zh
130629,Rongcheng,,Pinyin of name_zh
130633,Yi,,Pinyin of name_zh
130635,Li,,Pinyin of name_zh
130929,Xi'an,,Pinyin of name_zh
131127,Jing,,Pinyin of name_zh
140727,Qi,,Pinyin of name_zh
140826,Jiang,,Pinyin of name_zh
140828,Xia,,Pinyin of name_zh
140923,Dai,,Pinyin of name_zh
141025,Gu,,Pinyin of name_zh
141033,Pu,,Pinyin of name_zh
141123,Xing,,Pinyin of name_zh
141124,Lin,,Pinyin of name_zh
141127,Lan,,Pinyin of name_zh
230126,Bayan,,Pinyin of name_zh
320500,Suzhou,,https://en.wikipedia.org/wiki/Suzhou
331022,Sanmen,,Pinyin of name_zh
331126,Qingyuan,,Pinyin of name_zh
340181,Chaohu,,http://en.wikipedia.org/wiki/Chaohu
340523,He,,Pinyin of name_zh
341322,Xiao,,Pinyin of name_zh
341324,Si,,Pinyin of name_zh
341723,Qingyang,,Pinyin of name_zh
341823,Jing,,Pinyin of name_zh
341825,Jingde,,Pinyin of name_zh
360323,Luxi,,Pinyin of name_zh
360824,Xing'an,,Pinyin of name_zh
360926,Tonggu,,Pinyin of name_zh
361027,Jinxi,,Pinyin of name_zh
361126,Yiyang,,Pinyin of name_zh
371325,Fei,,Pinyin of name_zh
371421,Ling,,Pinyin of name_zh
371522,Shen,,Pinyin of name_zh
371525,Guan,,Pinyin of name_zh
371725,Yuncheng,,Pinyin of name_zh
411025,Xiangcheng,,Pinyin of name_zh
411422,Sui,,Pinyin of name_zh
411681,Xiangcheng,,Pinyin of name_zh
420600,Xiangyang,XFN,http://news.163.com/10/1202/17/6MTQ6F9V00014JB5.html
421221,Jiayu,,Pinyin of name_zh
429021,Shennongjia,,Pinyin of name_zh
431124,Dao,,Pinyin of name_zh
431229,Jingzhou,,Pinyin of name_zh
431322,Xinhua,,Pinyin of name_zh
440513,Chaoyang,,Pinyin of name_zh
445322,Yunan,,Pinyin of name_zh
450127,Heng,,Pinyin of name_zh
450323,Xing'an,,Pinyin of name_zh
451025,Jingxi,,Pinyin of name_zh
451122,Zhongshan,,Pinyin of name_zh
451321,Xincheng,,Pinyin of name_zh
451381,Heshan,,Pinyin of name_zh
451481,Pingxiang,,Pinyin of name_zh
510900,Suining,,https://en.wikipedia.org/wiki/Suining
511525,Gao,,Pinyin of name_zh
511526,Gong,,Pinyin of name_zh
511529,Pingshan,,Pinyin of name_zh
511725,Qu,,Pinyin of name_zh
511826,Lushan,,Pinyin of name_zh
520222,Pan,,Pinyin of name_zh
520500,Bijie,BJD,Formerly 522400 et seq.
520600,Tongren,TRD,Formerly 522200 et seq.
533422,Deqin,,Pinyin of name_zh
610626,Wuqi,,Pinyin of name_zh
610628,Fu,,Pinyin of name_zh
610722,Chenggu,,Pinyin of name_zh
610723,Yang,,Pinyin of name_zh
610725,Mian,,Pinyin of name_zh
610924,Ziyang,,Pinyin of name_zh
610926,Pingli,,Pinyin of name_zh
620902,Suzhou,,Pinyin of name_zh
620921,Jinta,,Pinyin of name_zh
621022,Huan,,Pinyin of name_zh
621026,Ning,,Pinyin of name_zh
621125,Zhang,,Pinyin of name_zh
621126,Min,,Pinyin of name_zh
621221,Cheng,,Pinyin of name_zh
621224,Kang,,Pinyin of name_zh
621226,Li,,Pinyin of name_zh
621226,Li,,Pinyin of name_zh
621227,Hui,,Pinyin of name_zh
630200,Haidong,HDD,http://www.xzqh.org/html/2013/0226/34652.html
654002,Yining,,Pinyin of name_zh
