code,name,name_en
110100,市辖区,City area
110200,县,County
120100,市辖区,City area
120200,县,County
130101,市辖区,City area
130201,市辖区,City area
130301,市辖区,City area
130401,市辖区,City area
130501,市辖区,City area
130601,市辖区,City area
130701,市辖区,City area
130801,市辖区,City area
130901,市辖区,City area
131010,市辖区,City area
131101,市辖区,City area
140101,市辖区,City area
140201,市辖区,City area
140301,市辖区,City area
140401,市辖区,City area
140501,市辖区,City area
140601,市辖区,City area
140701,市辖区,City area
140801,市辖区,City area
140901,市辖区,City area
141010,市辖区,City area
141101,市辖区,City area
150101,市辖区,City area
150201,市辖区,City area
150301,市辖区,City area
150401,市辖区,City area
150501,市辖区,City area
150601,市辖区,City area
150701,市辖区,City area
150801,市辖区,City area
150901,市辖区,City area
210101,市辖区,City area
210201,市辖区,City area
210301,市辖区,City area
210401,市辖区,City area
210501,市辖区,City area
210601,市辖区,City area
210701,市辖区,City area
210801,市辖区,City area
210901,市辖区,City area
211001,市辖区,City area
211101,市辖区,City area
211201,市辖区,City area
211301,市辖区,City area
211401,市辖区,City area
220101,市辖区,City area
220201,市辖区,City area
220301,市辖区,City area
220401,市辖区,City area
220501,市辖区,City area
220601,市辖区,City area
220701,市辖区,City area
220801,市辖区,City area
230101,市辖区,City area
230201,市辖区,City area
230301,市辖区,City area
230401,市辖区,City area
230501,市辖区,City area
230601,市辖区,City area
230701,市辖区,City area
230801,市辖区,City area
230901,市辖区,City area
231001,市辖区,City area
231101,市辖区,City area
231201,市辖区,City area
310100,市辖区,City area
310200,县,County
320101,市辖区,City area
320201,市辖区,City area
320301,市辖区,City area
320401,市辖区,City area
320501,市辖区,City area
320601,市辖区,City area
320701,市辖区,City area
320801,市辖区,City area
320901,市辖区,City area
321001,市辖区,City area
321101,市辖区,City area
321201,市辖区,City area
321301,市辖区,City area
330101,市辖区,City area
330201,市辖区,City area
330301,市辖区,City area
330401,市辖区,City area
330501,市辖区,City area
330601,市辖区,City area
330701,市辖区,City area
330801,市辖区,City area
330901,市辖区,City area
331001,市辖区,City area
331101,市辖区,City area
340101,市辖区,City area
340201,市辖区,City area
340301,市辖区,City area
340401,市辖区,City area
340501,市辖区,City area
340601,市辖区,City area
340701,市辖区,City area
340801,市辖区,City area
341001,市辖区,City area
341101,市辖区,City area
341201,市辖区,City area
341301,市辖区,City area
341501,市辖区,City area
341601,市辖区,City area
341701,市辖区,City area
341801,市辖区,City area
350101,市辖区,City area
350201,市辖区,City area
350301,市辖区,City area
350401,市辖区,City area
350501,市辖区,City area
350601,市辖区,City area
350701,市辖区,City area
350801,市辖区,City area
350901,市辖区,City area
360101,市辖区,City area
360201,市辖区,City area
360301,市辖区,City area
360401,市辖区,City area
360501,市辖区,City area
360601,市辖区,City area
360701,市辖区,City area
360801,市辖区,City area
360901,市辖区,City area
361001,市辖区,City area
361101,市辖区,City area
370101,市辖区,City area
370201,市辖区,City area
370301,市辖区,City area
370401,市辖区,City area
370501,市辖区,City area
370601,市辖区,City area
370701,市辖区,City area
370801,市辖区,City area
370901,市辖区,City area
371001,市辖区,City area
371101,市辖区,City area
371201,市辖区,City area
371301,市辖区,City area
371401,市辖区,City area
371501,市辖区,City area
371601,市辖区,City area
371701,市辖区,City area
410101,市辖区,City area
410201,市辖区,City area
410301,市辖区,City area
410401,市辖区,City area
410501,市辖区,City area
410601,市辖区,City area
410701,市辖区,City area
410801,市辖区,City area
410901,市辖区,City area
411001,市辖区,City area
411101,市辖区,City area
411201,市辖区,City area
411301,市辖区,City area
411401,市辖区,City area
411501,市辖区,City area
411601,市辖区,City area
411701,市辖区,City area
411801,市辖区,City area
411901,省直辖县级行政区划,Directly under the provincial level administrative divisions
420101,市辖区,City area
420201,市辖区,City area
420301,市辖区,City area
420501,市辖区,City area
420601,市辖区,City area
420701,市辖区,City area
420801,市辖区,City area
420901,市辖区,City area
421001,市辖区,City area
421101,市辖区,City area
421201,市辖区,City area
421301,市辖区,City area
429000,省直辖县级行政区划,Directly under the provincial level administrative divisions
430101,市辖区,City area
430201,市辖区,City area
430301,市辖区,City area
430401,市辖区,City area
430501,市辖区,City area
430601,市辖区,City area
430701,市辖区,City area
430801,市辖区,City area
430901,市辖区,City area
431001,市辖区,City area
431101,市辖区,City area
431201,市辖区,City area
431301,市辖区,City area
440101,市辖区,City area
440201,市辖区,City area
440301,市辖区,City area
440401,市辖区,City area
440501,市辖区,City area
440601,市辖区,City area
440701,市辖区,City area
440801,市辖区,City area
440901,市辖区,City area
441201,市辖区,City area
441301,市辖区,City area
441401,市辖区,City area
441501,市辖区,City area
441601,市辖区,City area
441701,市辖区,City area
441801,市辖区,City area
445101,市辖区,City area
445201,市辖区,City area
445301,市辖区,City area
450101,市辖区,City area
450201,市辖区,City area
450301,市辖区,City area
450401,市辖区,City area
450501,市辖区,City area
450601,市辖区,City area
450701,市辖区,City area
450801,市辖区,City area
450901,市辖区,City area
451001,市辖区,City area
451101,市辖区,City area
451201,市辖区,City area
451301,市辖区,City area
451401,市辖区,City area
460101,市辖区,City area
460201,市辖区,City area
469000,省直辖县级行政区划,Directly under the provincial level administrative divisions
500100,市辖区,City area
500200,县,County
510101,市辖区,City area
510301,市辖区,City area
510401,市辖区,City area
510501,市辖区,City area
510601,市辖区,City area
510701,市辖区,City area
510801,市辖区,City area
510901,市辖区,City area
511001,市辖区,City area
511101,市辖区,City area
511301,市辖区,City area
511401,市辖区,City area
511501,市辖区,City area
511601,市辖区,City area
511701,市辖区,City area
511801,市辖区,City area
511901,市辖区,City area
512001,市辖区,City area
520101,市辖区,City area
520301,市辖区,City area
520401,市辖区,City area
530101,市辖区,City area
530301,市辖区,City area
530401,市辖区,City area
530501,市辖区,City area
530601,市辖区,City area
530701,市辖区,City area
530801,市辖区,City area
530901,市辖区,City area
540101,市辖区,City area
610101,市辖区,City area
610201,市辖区,City area
610301,市辖区,City area
610401,市辖区,City area
610501,市辖区,City area
610601,市辖区,City area
610701,市辖区,City area
610801,市辖区,City area
610901,市辖区,City area
611001,市辖区,City area
620101,市辖区,City area
620201,市辖区,City area
620301,市辖区,City area
620401,市辖区,City area
620501,市辖区,City area
620601,市辖区,City area
620701,市辖区,City area
620801,市辖区,City area
620901,市辖区,City area
621001,市辖区,City area
621101,市辖区,City area
621201,市辖区,City area
630101,市辖区,City area
640101,市辖区,City area
640201,市辖区,City area
640301,市辖区,City area
640401,市辖区,City area
640501,市辖区,City area
650101,市辖区,City area
650201,市辖区,City area
659000,自治区直辖县级行政区划,Autonomous region directly under the county administrative divisions
